date,volume
6/3/1985,193603200
7/3/1985,733980800
8/3/1985,473558400
11/3/1985,286003200
12/3/1985,219430400
13-03-1985,251126400
14-03-1985,241606400
15-03-1985,181417600
18-03-1985,124768000
19-03-1985,171449600
20-03-1985,404969600
21-03-1985,162467200
22-03-1985,80371200
25-03-1985,109961600
26-03-1985,121430400
27-03-1985,111350400
28-03-1985,129606400
29-03-1985,87180800
1/4/1985,114060800
2/4/1985,227427200
3/4/1985,242659200
4/4/1985,161862400
8/4/1985,198732800
9/4/1985,263894400
10/4/1985,226912000
11/4/1985,146675200
12/4/1985,72531200
15-04-1985,59830400
16-04-1985,67648000
17-04-1985,123244800
18-04-1985,202428800
19-04-1985,96028800
22-04-1985,102592000
23-04-1985,118294400
24-04-1985,78937600
25-04-1985,87628800
26-04-1985,119705600
29-04-1985,62204800
30-04-1985,94729600
1/5/1985,57344000
2/5/1985,329772800
3/5/1985,158121600
6/5/1985,56134400
7/5/1985,107609600
8/5/1985,144390400
9/5/1985,127075200
10/5/1985,136080000
13-05-1985,87225600
14-05-1985,121744000
15-05-1985,130435200
16-05-1985,230540800
17-05-1985,211859200
20-05-1985,197187200
21-05-1985,152544000
22-05-1985,120556800
23-05-1985,239164800
24-05-1985,589478400
28-05-1985,510966400
29-05-1985,246556800
30-05-1985,314921600
31-05-1985,369420800
3/6/1985,576016000
4/6/1985,401923200
5/6/1985,286406400
6/6/1985,271196800
7/6/1985,475238400
10/6/1985,316131200
11/6/1985,300720000
12/6/1985,247990400
13-06-1985,379523200
14-06-1985,565667200
17-06-1985,236342400
18-06-1985,265216000
19-06-1985,171987200
20-06-1985,190803200
21-06-1985,166140800
24-06-1985,205766400
25-06-1985,293910400
26-06-1985,132204800
27-06-1985,192460800
28-06-1985,135744000
1/7/1985,103443200
2/7/1985,77728000
3/7/1985,68499200
5/7/1985,36579200
8/7/1985,92220800
9/7/1985,147907200
10/7/1985,106041600
11/7/1985,64892800
12/7/1985,47040000
15-07-1985,77683200
16-07-1985,143360000
17-07-1985,118182400
18-07-1985,179065600
19-07-1985,114912000
22-07-1985,192304000
23-07-1985,168694400
24-07-1985,168716800
25-07-1985,315078400
26-07-1985,130524800
29-07-1985,77750400
30-07-1985,89465600
31-07-1985,80505600
1/8/1985,51564800
2/8/1985,97417600
5/8/1985,92332800
6/8/1985,63078400
